2026-05-04 14:37:30 |                                 Quadtrix-v1.0                                 

2026-05-04 14:37:30 |   Started                     2026-05-04  14:37:30        
2026-05-04 14:37:30 |   Device                      CPU                         
2026-05-04 14:37:30 |   PyTorch                     2.4.1+cpu                   
2026-05-04 14:37:30 |   Log file                    C:\Users\Admin\Documents\GitHub\Quadtrix.cpp\engine\logs\run_20260504_143730.txt        

2026-05-04 14:37:39 | ==============================================================================
2026-05-04 14:37:39 |   CONFIG
2026-05-04 14:37:39 | ==============================================================================
2026-05-04 14:37:39 |   Seed                        1337                        
2026-05-04 14:37:39 |   Batch size                  16                          
2026-05-04 14:37:39 |   Block size                  32                          
2026-05-04 14:37:39 |   Learning rate               0.001                       
2026-05-04 14:37:39 |   Layers                      4                           
2026-05-04 14:37:39 |   Heads                       4                           
2026-05-04 14:37:39 |   Embedding dim               64                          
2026-05-04 14:37:39 |   Dropout                     0.1                         
2026-05-04 14:37:39 |   Parameters                  6,684,497                   
2026-05-04 14:37:39 |   Train tokens                7,065,137                   
2026-05-04 14:37:39 |   Val tokens                  785,016                     
2026-05-04 14:37:39 |   Data file                   C:\Users\Admin\Documents\GitHub\Quadtrix.cpp\engine\input.txt        

2026-05-04 14:37:39 | ==============================================================================
2026-05-04 14:37:39 |   TRAINING
2026-05-04 14:37:39 |   10,000 steps | eval every 10 | checkpoint on improvement
2026-05-04 14:37:39 | ==============================================================================

2026-05-04 14:37:45 | step    0/10000 | loss 10.823271          | norm 0.0000          | lr 1.00e-03 | 6008.76 ms | 60.0% bf16 MFU | 85 tok/s
2026-05-04 14:37:56 | step   10/10000 | loss 9.919573 (-0.90z) | norm 1.0755 (-0.90z) | lr 1.00e-03 | 17541.63 ms | 60.0% bf16 MFU | 321 tok/s
2026-05-04 14:38:10 | step   20/10000 | loss 8.960536 (-0.96z) | norm 1.0837 (-0.96z) | lr 1.00e-03 | 30928.88 ms | 60.0% bf16 MFU | 347 tok/s
2026-05-04 14:38:21 | step   30/10000 | loss 7.965471 (-1.00z) | norm 1.1215 (-1.00z) | lr 1.00e-03 | 42338.19 ms | 60.0% bf16 MFU | 374 tok/s
2026-05-04 14:38:33 | step   40/10000 | loss 7.123497 (-0.84z) | norm 1.1473 (-0.84z) | lr 1.00e-03 | 54362.14 ms | 60.0% bf16 MFU | 386 tok/s
2026-05-04 14:38:45 | step   50/10000 | loss 6.588623 (-0.53z) | norm 0.9567 (-0.53z) | lr 1.00e-03 | 66579.86 ms | 60.0% bf16 MFU | 392 tok/s
2026-05-04 14:38:58 | step   60/10000 | loss 6.261659 (-0.33z) | norm 0.8200 (-0.33z) | lr 1.00e-03 | 79535.98 ms | 60.0% bf16 MFU | 392 tok/s
2026-05-04 14:39:09 | step   70/10000 | loss 6.084456 (-0.18z) | norm 0.5600 (-0.18z) | lr 1.00e-03 | 90772.39 ms | 60.0% bf16 MFU | 400 tok/s
2026-05-04 14:39:20 | step   80/10000 | loss 5.920197 (-0.16z) | norm 0.5964 (-0.16z) | lr 1.00e-03 | 101472.72 ms | 60.0% bf16 MFU | 408 tok/s
2026-05-04 14:39:31 | step   90/10000 | loss 5.923934 (+0.00z) | norm 0.6237 (+0.00z) | lr 1.00e-03 | 112395.39 ms | 60.0% bf16 MFU | 414 tok/s
2026-05-04 14:39:41 | step  100/10000 | loss 5.831656 (-0.09z) | norm 0.7426 (-0.09z) | lr 1.00e-03 | 122897.32 ms | 60.0% bf16 MFU | 420 tok/s
